"Title";"Year";"Authors"
"Analytics and Data Science";"2018";"Amit Deokar, Ashish Gupta, Lakshmi Iyer, Mary Jones"
"A Survey of App Store Analysis for Software Engineering";"2017";"William Martin, Federica Sarro, Yue Jia, Yuanyuan Zhang, Mark Harman"
